Report_Date_as_YYYY-MM-DD,Open_Interest_All,Prod_Merc_Positions_Long_All,Prod_Merc_Positions_Short_All,Swap_Positions_Long_All,Swap__Positions_Short_All,M_Money_Positions_Long_All,M_Money_Positions_Short_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Net_Managed_Money,Net_Commercials,Net_Swap,Net_Other
2024-01-02,223299,38725,102897,37867,18686,60810,15264,13390,15508,45546,-64172,19181,-2118
2024-01-09,220376,39813,102598,34576,19499,59818,13928,13345,13647,45890,-62785,15077,-302
2024-01-16,221338,42118,104903,31176,19538,59008,12572,13959,11013,46436,-62785,11638,2946
2024-01-23,222322,41421,107624,30840,19549,61332,11677,13618,10375,49655,-66203,11291,3243
2024-01-30,225509,41820,111909,31381,19510,65897,13156,15157,11779,52741,-70089,11871,3378
2024-02-06,234432,45367,114479,32038,19345,65251,12990,14465,11743,52261,-69112,12693,2722
2024-02-13,224284,46614,121513,33869,20412,67468,13877,15011,8518,53591,-74899,13457,6493
2024-02-20,206496,38056,108628,33470,19498,63854,14515,15021,8497,49339,-70572,13972,6524
2024-02-27,209453,42831,102045,33351,26561,60475,14386,14855,9244,46089,-59214,6790,5611
2024-03-05,217132,42645,104584,33792,27211,60335,13402,15314,8775,46933,-61939,6581,6539
2024-03-12,215929,42437,105958,33247,27988,63280,12963,14296,8182,50317,-63521,5259,6114
2024-03-19,218596,47805,103708,32914,28534,59812,15070,13977,8554,44742,-55903,4380,5423
2024-03-26,235994,49337,110094,33096,30072,63213,13712,14420,7886,49501,-60757,3024,6534
2024-04-02,247741,43421,116030,32970,29760,72669,13791,17624,9020,58878,-72609,3210,8604
2024-04-09,246385,45150,121628,33125,33604,79995,11147,15941,11226,68848,-76478,-479,4715
2024-04-16,242871,48504,119269,32780,40850,81838,9020,16454,13201,72818,-70765,-8070,3253
2024-04-23,237477,44381,110877,32995,41714,78572,8616,15164,13206,69956,-66496,-8719,1958
2024-04-30,235673,43918,105235,32154,42993,78937,9289,14069,15127,69648,-61317,-10839,-1058
2024-05-07,227220,41850,95805,31543,43627,69475,8651,15579,13526,60824,-53955,-12084,2053
2024-05-14,223287,42468,90460,31675,43377,62651,8582,14577,11435,54069,-47992,-11702,3142
2024-05-21,222800,40881,92829,32369,42718,62556,9267,15530,9433,53289,-51948,-10349,6097
2024-05-28,233839,41002,96475,32394,43293,65787,8774,15359,9339,57013,-55473,-10899,6020
2024-06-04,250691,46312,106014,32008,42591,70422,7202,14526,10097,63220,-59702,-10583,4429
2024-06-11,244819,51370,104222,31283,44398,70531,7594,13316,12808,62937,-52852,-13115,508
2024-06-18,203929,32162,90090,31997,44382,68808,6727,14554,9086,62081,-57928,-12385,5468
2024-06-25,208029,33494,91010,31590,47793,71536,6378,13686,8132,65158,-57516,-16203,5554
2024-07-02,211372,36821,92765,32514,47189,69676,8140,14573,8348,61536,-55944,-14675,6225
2024-07-09,221963,37459,100364,32101,47774,74152,6517,16306,8521,67635,-62905,-15673,7785
2024-07-16,230289,43616,99167,31575,50350,71424,7672,14727,7500,63752,-55551,-18775,7227
2024-07-23,241117,50603,100523,31684,50942,69297,9938,14023,6882,59359,-49920,-19258,7141
2024-07-30,253876,58850,101028,29483,52156,64795,9520,13439,5698,55275,-42178,-22673,7741
2024-08-06,243034,58588,97369,28975,51965,58870,7668,13392,5387,51202,-38781,-22990,8005
2024-08-13,195236,50339,96351,29603,45869,60462,8203,12404,5723,52259,-46012,-16266,6681
2024-08-20,193447,40637,92290,29200,45284,65308,8319,13724,6555,56989,-51653,-16084,7169
2024-08-27,194404,38361,92107,29169,45945,67013,8859,14633,5880,58154,-53746,-16776,8753
2024-09-03,196203,37861,87283,30524,47858,66920,10252,13654,6401,56668,-49422,-17334,7253
2024-09-10,194516,39060,87189,29780,47860,67203,10173,11903,5486,57030,-48129,-18080,6417
2024-09-17,206248,39286,94006,30160,48962,69740,8910,13708,4410,60830,-54720,-18802,9298
2024-09-24,209027,41424,95196,30950,50356,70105,8633,11996,4949,61472,-53772,-19406,7047
2024-10-01,210615,42509,96285,32147,51003,69434,8642,12297,5276,60792,-53776,-18856,7021
2024-10-08,211716,46194,91851,31814,52411,61892,7656,14851,6372,54236,-45657,-20597,8479
2024-10-15,215123,45195,95059,31876,52187,63482,6326,15884,6090,57156,-49864,-20311,9794
2024-10-22,217970,45030,94829,32162,51996,64677,6423,14881,6831,58254,-49799,-19834,8050
2024-10-29,215285,44719,93783,32609,51579,61301,4865,15818,6953,56436,-49064,-18970,8865
2024-11-05,218149,44239,89892,31384,51170,58392,4560,16804,7659,53832,-45653,-19786,9145
2024-11-12,205251,41979,98151,31189,46585,61981,4106,15593,5000,57875,-56172,-15396,10593
2024-11-19,199432,34985,94099,31709,45610,64891,3308,14140,6805,61583,-59114,-13901,7335
2024-11-26,204329,34235,91901,32259,48413,66947,4447,16107,7994,62500,-57666,-16154,8113
2024-12-03,202088,34085,86280,31391,49013,64153,4847,13862,6441,59306,-52195,-17622,7421
2024-12-10,204227,33992,81610,31222,48730,63670,4919,12547,9224,58751,-47618,-17508,3323
2024-12-17,199746,32292,78894,30667,49765,59913,3920,14314,8160,55993,-46602,-19098,6154
2024-12-24,193305,30897,80789,30904,48304,61458,3939,13582,6944,57519,-49892,-17400,6638
