Date,Price US$
1996-09-02,121.15
1996-09-03,117.69
1996-09-04,117.44
1996-09-05,116.38
1996-09-06,115.98
1996-09-09,115.11
1996-09-10,114.71
1996-09-11,111.94
1996-09-12,113.46
1996-09-13,113.84
1996-09-16,114.27
1996-09-17,115.86
1996-09-18,115.09
1996-09-19,113.76
1996-09-20,113.35
1996-09-23,113.63
1996-09-24,114.04
1996-09-25,113.90
1996-09-26,113.23
1996-09-27,112.77
1996-09-30,110.13
1996-10-01,111.48
1996-10-02,111.85
1996-10-04,114.00
1996-10-07,116.87
1996-10-08,116.35
1996-10-09,116.91
1996-10-10,116.16
1996-10-11,116.50
1996-10-14,114.60
1996-10-15,114.21
1996-10-16,112.96
1996-10-17,111.57
1996-10-18,110.76
1996-10-21,112.57
1996-10-22,116.09
1996-10-23,115.82
1996-10-24,113.32
1996-10-25,112.02
1996-10-28,112.79
1996-10-29,112.56
1996-10-30,112.77
1996-10-31,112.99
1996-11-01,113.28
1996-11-04,113.50
1996-11-05,114.08
1996-11-06,116.05
1996-11-07,116.38
1996-11-08,115.68
1996-11-11,112.58
1996-11-12,113.88
1996-11-13,116.36
1996-11-14,117.26
1996-11-18,116.75
1996-11-19,117.86
1996-11-20,119.21
1996-11-21,116.13
1996-11-22,116.75
1996-11-25,115.91
1996-11-26,116.28
1996-11-27,116.23
1996-11-28,115.98
1996-11-29,114.82
1996-12-02,114.15
1996-12-03,115.44
1996-12-04,115.52
1996-12-05,115.58
1996-12-06,115.58
1996-12-09,116.68
1996-12-10,117.49
1996-12-11,118.13
1996-12-12,119.27
1996-12-13,121.38
1996-12-16,121.78
1996-12-17,123.34
1996-12-18,127.11
1996-12-19,125.77
1996-12-20,126.51
1996-12-23,125.53
1996-12-26,127.98
1996-12-27,131.16
1996-12-30,132.47
1997-01-02,133.41
1997-01-03,135.90
1997-01-06,134.66
1997-01-07,138.92
1997-01-08,142.88
1997-01-09,145.81
1997-01-10,146.42
1997-01-13,145.80
1997-01-14,148.75
1997-01-15,150.45
1997-01-16,151.07
1997-01-17,151.94
1997-01-20,154.54
1997-01-21,155.43
1997-01-22,164.52
1997-01-23,171.50
1997-01-24,168.08
1997-01-27,164.00
1997-01-28,165.24
1997-01-29,172.43
1997-01-30,165.88
1997-01-31,163.36
1997-02-03,166.72
1997-02-04,170.25
1997-02-05,167.00
1997-02-06,171.10
1997-02-07,172.20
1997-02-12,190.22
1997-02-13,195.78
1997-02-14,195.27
1997-02-17,192.04
1997-02-18,183.31
1997-02-19,190.63
1997-02-20,192.46
1997-02-24,186.21
1997-02-25,192.49
1997-02-26,197.44
1997-02-27,194.41
1997-02-28,196.66
1997-03-03,201.75
1997-03-04,208.07
1997-03-05,215.74
1997-03-06,212.36
1997-03-07,207.60
1997-03-10,217.33
1997-03-11,220.10
1997-03-12,219.80
1997-03-13,208.03
1997-03-14,210.20
1997-03-17,198.14
1997-03-18,195.04
1997-03-19,199.81
1997-03-20,199.25
1997-03-21,197.45
1997-03-24,191.76
1997-03-25,200.55
1997-03-26,212.54
1997-03-31,213.25
1997-04-01,215.63
1997-04-02,216.03
1997-04-03,203.04
1997-04-04,199.75
1997-04-07,203.11
1997-04-08,202.76
1997-04-09,208.03
1997-04-10,208.16
1997-04-11,207.56
1997-04-14,208.19
1997-04-15,208.56
1997-04-16,216.77
1997-04-17,215.65
1997-04-18,217.10
1997-04-22,210.59
1997-04-23,214.95
1997-04-24,215.28
1997-04-25,213.29
1997-04-28,214.65
1997-04-29,216.74
1997-04-30,220.44
1997-05-02,220.55
1997-05-05,222.04
1997-05-06,218.27
1997-05-07,218.04
1997-05-08,220.21
1997-05-09,219.65
1997-05-12,225.39
1997-05-13,229.30
1997-05-14,229.34
1997-05-15,235.53
1997-05-16,235.34
1997-05-19,233.60
1997-05-20,231.39
1997-05-21,238.65
1997-05-22,248.66
1997-05-23,247.93
1997-05-26,247.64
1997-05-27,259.32
1997-05-28,280.00
1997-05-30,263.49
1997-06-02,241.28
1997-06-03,249.21
1997-06-04,249.26
1997-06-05,240.01
1997-06-06,245.28
1997-06-09,251.56
1997-06-10,233.42
1997-06-11,227.54
1997-06-12,235.72
1997-06-13,219.77
1997-06-16,214.62
1997-06-17,225.70
1997-06-18,215.44
1997-06-19,224.80
1997-06-20,223.44
1997-06-23,217.69
1997-06-24,214.18
1997-06-25,212.25
1997-06-26,200.98
1997-06-27,198.49
1997-06-30,201.00
1997-07-01,201.08
1997-07-02,197.52
1997-07-03,194.16
1997-07-04,192.32
1997-07-07,183.36
1997-07-08,186.85
