Report_Date_as_YYYY-MM-DD,Open_Interest_All,Prod_Merc_Positions_Long_All,Prod_Merc_Positions_Short_All,Swap_Positions_Long_All,Swap__Positions_Short_All,M_Money_Positions_Long_All,M_Money_Positions_Short_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Net_Managed_Money,Net_Commercials,Net_Swap,Net_Other
2024-01-02,101103,25800,58930,4817,7168,42681,6483,2509,7141,36198,-33130,-2351,-4632
2024-01-09,104780,26634,61223,5335,5758,42765,5886,1981,7304,36879,-34589,-423,-5323
2024-01-16,115045,27506,70854,5815,5213,48525,2889,2376,8705,45636,-43348,602,-6329
2024-01-23,116303,28639,73017,6568,3189,47556,3130,2363,9441,44426,-44378,3379,-7078
2024-01-30,112136,24758,72934,7221,3381,49242,2310,3287,9055,46932,-48176,3840,-5768
2024-02-06,116801,28249,78012,7412,2291,49867,2665,3539,9473,47202,-49763,5121,-5934
2024-02-13,113894,25035,77891,8380,2233,51621,2840,3002,8775,48781,-52856,6147,-5773
2024-02-20,115924,28963,79607,8558,2083,50959,3644,2829,8891,47315,-50644,6475,-6062
2024-02-27,96180,21214,64911,4069,3148,49013,6118,2583,5392,42895,-43697,921,-2809
2024-03-05,101275,25132,70782,3900,3481,49868,5375,2155,4916,44493,-45650,419,-2761
2024-03-12,103388,24814,71686,3561,3272,50694,5913,2430,4667,44781,-46872,289,-2237
2024-03-19,101881,24058,69977,4000,3454,49791,6002,2500,4414,43789,-45919,546,-1914
2024-03-26,100231,21390,67575,4241,3942,49229,5830,3273,4223,43399,-46185,299,-950
2024-04-02,101762,21063,69696,4916,2912,50635,6485,4370,3561,44150,-48633,2004,809
2024-04-09,103288,23542,71505,5943,1854,47774,6577,4345,4058,41197,-47963,4089,287
2024-04-16,100620,23555,68042,6135,1844,43184,6620,4661,4001,36564,-44487,4291,660
2024-04-23,88274,18076,60627,4612,2377,38793,7271,6987,1155,31522,-42551,2235,5832
2024-04-30,85881,16770,58157,6136,3589,37832,6827,6911,1294,31005,-41387,2547,5617
2024-05-07,77638,21503,48558,1804,5345,31538,7689,3563,907,23849,-27055,-3541,2656
2024-05-14,80407,28346,53208,2329,4606,28407,6607,3033,737,21800,-24862,-2277,2296
2024-05-21,88551,33381,59864,2355,4006,28421,5691,3298,1846,22730,-26483,-1651,1452
2024-05-28,95413,36610,67046,3057,3853,30464,4841,3479,1455,25623,-30436,-796,2024
2024-06-04,93612,34344,67079,3087,3830,33275,4623,2599,2472,28652,-32735,-743,127
2024-06-11,95744,36622,72635,4019,4220,36807,4638,3004,3115,32169,-36013,-201,-111
2024-06-18,93674,34509,70780,4487,3813,36684,5480,3605,3281,31204,-36271,674,324
2024-06-25,86378,28279,65571,3250,2811,36460,4567,3508,2396,31893,-37292,439,1112
2024-07-02,84847,25618,59160,3636,6126,35752,4619,3792,2686,31133,-33542,-2490,1106
2024-07-09,89619,24530,65058,2186,6453,42200,4578,4237,1910,37622,-40528,-4267,2327
2024-07-16,90997,27451,67212,2184,6298,42482,4418,4537,2451,38064,-39761,-4114,2086
2024-07-23,89913,26962,63205,2344,6436,40884,4410,3921,3100,36474,-36243,-4092,821
2024-07-30,85769,29049,59050,2389,6404,36926,4881,2933,3355,32045,-30001,-4015,-422
2024-08-06,89283,35054,61089,2054,6646,32448,5680,3991,3198,26768,-26035,-4592,793
2024-08-13,90834,33380,61978,1767,6325,36509,4722,3582,4061,31787,-28598,-4558,-479
2024-08-20,98789,33670,66476,1837,8125,42549,5076,4145,3648,37473,-32806,-6288,497
2024-08-27,86337,23767,59859,2276,7127,41786,3928,3625,2175,37858,-36092,-4851,1450
2024-09-03,87750,24605,59563,2266,7292,42111,4852,3102,1047,37259,-34958,-5026,2055
2024-09-10,87757,23744,58458,2728,8626,42618,5257,4536,1159,37361,-34714,-5898,3377
2024-09-17,88856,24157,56443,2571,9945,43710,5439,2981,1401,38271,-32286,-7374,1580
2024-09-24,92840,28808,59491,2841,9118,42557,6408,3788,1793,36149,-30683,-6277,1995
2024-10-01,94322,27749,60714,2534,8909,43612,5004,4027,2282,38608,-32965,-6375,1745
2024-10-08,90838,29975,56783,2627,8783,39925,5898,2963,2553,34027,-26808,-6156,410
2024-10-15,85640,27420,53148,2788,8826,38387,6310,3949,2514,32077,-25728,-6038,1435
