Date,NewYork,NewOrleans,Houston,Miami,Antwerp,HamburgBremen,Barcelona,Virginia,Total
1996-11-29,28,274,0,19,0,0,0,0,321
1996-12-27,778,7768,0,25519,0,0,0,0,34065
1997-01-31,525,4757,0,15769,0,0,0,0,21051
1997-02-28,775,9751,0,6769,0,0,0,0,17295
1997-03-31,8021,50599,0,24708,0,0,0,0,83328
1997-04-30,3840,26349,0,13479,0,0,0,0,43668
1997-05-30,8213,24770,0,15252,0,0,0,0,48235
1997-06-30,9275,23839,0,16786,0,0,0,0,49900
1997-07-31,34596,41677,0,19218,0,0,0,0,95491
1997-08-29,40258,41119,0,14399,0,0,0,0,95776
1997-09-30,51935,31428,0,9271,0,0,0,0,92634
1997-10-31,13941,11298,0,846,0,0,0,0,26085
1997-11-26,10436,7254,0,336,0,0,0,0,18026
1997-12-31,21670,70982,0,5336,0,0,0,0,97988
1998-01-30,17574,78449,0,6311,0,0,0,0,102334
1998-02-27,31014,121466,0,9809,0,0,0,0,162289
1998-03-31,13249,84343,0,11059,0,0,0,0,108651
1998-04-30,14015,58561,0,6809,0,0,0,0,79385
1998-05-29,23738,165898,0,51546,0,0,0,0,241182
1998-06-30,19387,156287,0,52046,0,0,0,0,227720
1998-07-31,17287,150041,0,50706,0,0,0,0,218034
1998-08-31,18389,75939,0,19308,0,0,0,0,113636
1998-09-30,18034,73317,0,19148,0,0,0,0,110499
1998-10-30,11304,60270,0,16807,0,0,0,0,88381
1998-11-30,10851,57977,0,20057,0,0,0,0,88885
1998-12-31,12399,53457,0,18809,0,0,0,0,84665
1999-01-29,12160,68654,0,23309,0,0,0,0,104123
1999-02-26,18409,93149,0,47347,0,0,0,0,158905
1999-03-31,29064,145565,0,68798,0,0,0,0,243427
1999-04-30,36739,214866,0,86238,0,0,0,0,337843
1999-05-28,47863,284597,0,101406,0,0,0,0,433866
1999-07-30,99660,395568,0,114245,0,0,0,0,609473
1999-08-31,152341,415892,0,117745,0,0,0,0,685978
1999-09-30,197174,438641,0,131979,0,0,0,0,767794
1999-10-29,234468,456642,0,128979,0,0,0,0,820089
1999-11-30,249268,465392,0,134724,0,0,0,0,849384
1999-12-31,257408,487092,0,149724,0,0,0,0,894224
2000-01-28,265858,550582,0,164971,0,0,0,0,981411
2000-02-25,275993,665577,0,200467,0,0,0,0,1142037
2000-03-31,340198,925981,0,302417,0,0,0,0,1568596
2000-04-28,398945,1098554,0,367235,0,0,0,0,1864734
2000-05-26,447615,1252368,0,445942,0,0,0,0,2145925
2000-06-30,575228,1437920,0,573392,0,0,0,0,2586540
2000-07-28,660040,1576400,0,677382,0,0,0,0,2913822
2000-08-25,814853,1638690,0,758090,0,0,0,0,3211633
2000-09-29,938502,1686266,0,902081,0,0,0,0,3526849
2000-10-27,984214,1696600,0,961580,0,0,0,0,3642394
2000-11-23,1015937,1695535,0,925630,0,0,0,0,3637102
2000-12-29,1040360,1689283,0,943924,0,0,0,0,3673567
2001-01-26,1053866,1697199,0,977545,0,0,0,0,3728610
2001-02-23,1071986,1732469,0,1020212,0,0,0,0,3824667
2001-03-30,1085233,1718788,0,1025477,0,0,0,0,3829498
2001-04-27,1045925,1732702,0,991397,0,0,0,0,3770024
2001-05-25,1024985,1727260,0,964764,0,0,0,0,3717009
2001-06-29,989566,1706131,0,954947,0,0,0,0,3650644
2001-07-27,971256,1681945,0,945623,0,0,0,0,3598824
2001-08-31,944596,1628454,0,927217,0,0,0,0,3500267
2001-09-28,914847,1551200,0,914438,0,0,0,0,3380485
2001-10-31,869545,1491895,0,904391,0,0,0,0,3265831
2001-11-30,760090,1378645,0,825057,0,0,0,0,2963792
2001-12-28,724996,1337154,0,794957,0,0,0,0,2857107
2002-01-31,694914,1289796,0,777695,0,0,0,0,2762405
2002-02-28,658308,1183676,0,730907,0,0,0,0,2572891
2002-03-28,591452,1080413,0,710169,0,0,0,0,2382034
2002-04-30,556133,1017419,0,698627,0,0,0,0,2272179
2002-05-31,534170,1004510,0,689351,0,0,0,0,2228031
2002-06-28,518546,984997,0,683351,0,0,0,0,2186894
2002-07-31,502725,987334,0,679576,0,0,0,0,2169635
2002-08-30,508829,991540,0,701324,0,0,0,0,2201693
2002-09-30,535342,996917,0,730500,0,0,0,0,2262759
2002-10-31,633783,1016207,0,754317,3720,15468,0,0,2423495
2002-11-29,675813,1051283,0,776751,50019,18910,0,0,2572776
2002-12-31,698070,1054424,0,790752,93129,51815,0,0,2688190
2003-01-31,731175,1047678,0,831491,138979,117552,0,0,2866875
2003-02-28,788231,1053058,0,853963,208464,181408,0,0,3085124
2003-03-31,843433,1060125,0,897067,307849,267897,0,0,3376371
2003-04-30,899957,1060606,0,935661,411588,306673,0,0,3614485
2003-05-30,933480,1078240,0,990624,467842,357146,0,0,3827332
2003-06-30,1011813,1103464,0,1026729,535263,396406,0,0,4073675
2003-07-31,1056635,1139102,0,1058403,604149,436993,0,0,4295282
2003-08-29,1095785,1120242,0,1030999,679767,478952,0,0,4405745
2003-09-30,1094359,1106834,0,1019767,705363,498949,0,0,4425272
2003-10-31,1126325,1099218,0,978048,750346,517339,0,0,4471276
2003-11-28,1122863,1038065,0,937852,776514,524164,0,0,4399458
2003-12-30,1123343,995508,0,903065,804579,534997,0,0,4361492
2004-01-30,1149226,961575,0,908917,850324,552203,0,0,4422245
2004-02-27,1174328,961132,0,918963,871033,577391,0,0,4502847
2004-03-31,1213285,965512,0,949591,926949,641528,0,0,4696865
2004-04-30,1213155,960054,0,960647,991705,696846,0,0,4822407
2004-05-31,1260137,988106,0,963147,1019102,716576,0,0,4947068
2004-06-30,1295255,955757,0,907381,1066156,777301,0,0,5001850
2004-07-30,1296611,958767,0,884083,1108789,808550,0,0,5056800
2004-08-31,1301001,942174,0,823213,1182719,843628,0,0,5092735
2004-09-30,1213444,897926,0,779958,1182522,829933,0,0,4903783
2004-10-29,1162058,766190,0,668961,1197875,809773,0,0,4604857
2004-11-30,1144550,738441,0,661762,1222159,1122139,0,0,4889051
2004-12-31,1143701,711631,0,649335,1232595,772123,0,0,4509385
2005-01-31,1154230,701457,0,643335,1275583,749352,0,0,4523957
2005-02-28,1152525,711831,0,634502,1289095,722473,0,0,4510426
2005-03-31,1142693,725775,0,624922,1297587,726562,0,0,4517539
2005-04-29,1139091,729600,1550,621667,1264780,742267,0,0,4498955
2005-05-31,1144719,733001,2548,622267,1278115,741486,0,0,4522136
2005-06-30,1150916,739311,3623,616685,1269744,744664,0,0,4524943
2005-07-29,1134481,748240,4193,604343,1299313,761249,0,0,4551819
2005-08-31,1105107,733482,6403,548715,1338204,743043,0,0,4474954
2005-09-30,1083827,734238,5405,506686,1309497,714397,0,0,4354050
2005-10-31,1045759,729638,5405,489347,1265779,658457,0,0,4194385
2005-11-30,1002447,710126,6739,472567,1219256,628080,0,0,4039215
2005-12-30,959184,678333,5894,442989,1186288,600847,0,0,3873535
2006-01-31,896252,642280,5609,400755,1129329,608156,0,0,3682381
2006-02-28,893953,604836,8084,393955,1067917,622969,0,0,3591714
2006-03-31,883527,591639,21108,376292,1015314,601477,0,0,3489357
2006-04-28,854572,562172,47183,372306,943447,577727,0,0,3357407
2006-05-31,848029,536200,79683,371428,915833,576548,0,0,3327721
2006-06-30,849036,499840,93750,347392,918935,589888,0,0,3298841
2006-07-31,879001,491499,123275,322659,954777,598347,0,0,3369558
2006-08-31,876767,482919,156926,309556,1032889,631726,0,0,3490783
2006-09-29,896436,464480,175675,295079,1103345,667042,0,0,3602057
2006-10-31,887728,442280,194974,249905,1211498,683354,0,0,3669739
2006-11-30,857650,409306,201127,238609,1241914,658944,0,0,3607550
2006-12-29,863900,404412,204708,232159,1305909,699678,0,0,3710766
2007-01-31,834482,395334,209221,225839,1371108,686796,0,0,3722780
2007-02-28,818940,372838,212485,209514,1442409,680459,0,0,3736645
2007-03-30,820454,394024,212985,203646,1546070,734893,0,0,3912072
2007-04-30,809209,441929,212485,188171,1576103,751937,0,0,3979834
2007-05-31,812483,486085,220249,179773,1598671,764189,0,0,4061450
2007-06-30,799178,533991,224873,163250,1639028,811330,0,0,4171650
2007-07-31,784981,556136,233200,161573,1686467,869330,0,0,4291687
2007-08-31,778825,579396,266763,148323,1694438,891582,0,0,4359327
2007-09-28,768675,604797,290364,135324,1725652,902161,0,0,4426973
2007-10-31,773457,613527,328602,134433,1762676,933046,0,0,4545741
2007-11-30,731189,611770,346579,135608,1761370,950628,0,0,4537144
2007-12-31,731334,587661,357293,131108,1764242,899567,0,0,4471205
2008-01-31,698924,571239,363043,126607,1720878,888357,0,0,4369048
2008-02-28,704655,566528,373102,124059,1687746,866859,0,0,4322949
2008-03-31,713261,583652,402895,135172,1678328,882869,0,0,4396177
2008-04-30,683496,576226,437888,126662,1676453,871987,0,0,4372712
2008-05-30,683667,577095,472985,124740,1682564,812183,0,0,4353234
2008-06-30,723878,601317,512050,115515,1694591,783023,0,0,4430374
2008-07-31,728529,618636,532681,112312,1772547,802690,0,0,4567395
2008-08-31,713576,642771,555650,106580,1751338,794915,0,0,4564830
2008-09-30,708110,649716,571445,112106,1744670,779065,0,0,4565112
2008-10-31,690155,655811,583299,123921,1786945,767399,0,0,4607530
2008-11-28,663570,645894,575244,123283,1749868,746701,0,0,4504560
2008-12-31,643747,624581,572619,116808,1742377,715786,0,0,4415918
2009-01-31,619882,613663,559335,114392,1676310,677860,0,0,4261442
2009-02-27,601780,601963,550116,111112,1653733,644406,0,0,4163110
2009-03-31,576881,594142,533390,105862,1560218,623791,0,0,3994284
2009-04-30,556843,567716,527748,102649,1480074,587201,0,0,3822231
2009-05-31,541020,553724,518887,99799,1428446,578995,0,0,3720871
2009-06-30,518752,547953,515283,95524,1403511,546059,0,0,3627082
2009-07-31,509022,535754,508526,92332,1347614,525198,0,0,3518446
2009-08-31,480706,536572,502689,82840,1315340,502677,0,0,3420824
2009-09-30,476673,533127,498004,82466,1270665,487096,0,0,3348031
2009-10-31,468259,520477,492882,78641,1258422,466338,0,0,3285019
2009-11-30,454782,516703,492682,77141,1196657,443092,0,0,3181057
2009-12-31,442515,512951,477040,75891,1166989,410982,0,0,3086368
2010-01-29,419973,502772,441122,71166,1103117,392766,0,0,2930916
2010-02-26,395647,497034,414050,68591,1074472,321167,0,0,2770961
2010-03-31,354047,481664,394466,66091,999209,308664,0,0,2604141
2010-04-30,315854,439750,380178,63716,910928,297475,0,0,2407901
2010-05-31,289320,419053,362996,58967,906044,292317,0,0,2328697
2010-06-30,270363,397170,347649,56211,868716,273277,0,0,2213386
2010-07-31,243447,385492,337948,50213,821639,268324,0,0,2107063
2010-08-31,226017,380107,328291,46538,768862,263101,0,0,2012916
2010-09-30,210106,372960,323532,43163,754739,254646,0,0,1959146
2010-10-31,190273,359971,301202,37663,684809,245137,0,0,1819055
2010-11-30,158387,348194,289140,29163,655563,242403,0,0,1722850
2010-12-31,157532,340970,283075,28913,657402,237436,0,0,1705328
2011-01-31,146913,316051,271913,27907,633389,226259,0,0,1622432
2011-03-31,145993,295950,251967,27677,625977,224221,0,0,1571785
2011-04-30,169401,292014,242839,27168,627941,230223,640,0,1590226
2011-05-31,214182,289040,240261,26823,649605,243992,640,0,1664543
2011-06-30,223677,275182,199298,26818,642828,251635,640,0,1620078
2011-07-31,175475,243562,187370,24097,649382,254187,640,0,1534713
2011-08-31,171440,208960,176227,22472,627456,258904,1190,0,1466649
2011-09-30,165941,195265,153396,21187,638129,255879,1190,0,1430987
2011-10-31,149568,174248,126554,19381,579528,217447,750,0,1267476
2011-11-30,210030,164998,136429,18228,704066,228807,750,0,1463308
2011-12-31,215988,152985,130450,17399,787113,225205,750,0,1529890
2012-01-31,206258,143442,122862,16451,811580,226970,750,0,1528313
2012-02-29,225111,135812,129697,14826,833188,232305,750,0,1571689
2012-03-31,224862,123713,115832,9452,826403,237368,750,0,1538380
2012-04-30,224084,118579,109663,8202,821266,236164,550,0,1518508
2012-05-31,238011,111830,133971,9127,822341,234589,550,0,1550419
2012-06-29,259326,104100,154982,20923,847361,233890,1310,0,1621892
2012-07-31,300659,97920,166291,24963,929013,245259,1310,0,1765415
2012-08-31,335927,89172,206366,37011,1039429,256040,550,0,1964495
2012-09-28,357111,80798,229417,38611,1152920,287719,550,0,2147126
2012-10-31,405555,74696,241821,36313,1322588,319784,550,0,2401307
2012-11-30,420545,56374,234866,33934,1397584,350471,550,0,2494324
2013-02-28,432341,20720,224002,32284,1588525,390311,550,0,2688733
2013-03-29,430846,11956,218086,31484,1661631,382289,550,0,2736842
